Pesticide_Name,USGSpcode,n_chemical_result_rows,n_sampling_activities,n_analysis_sites,pct_of_81_analysis_sites,n_water_years_present,first_date,last_date,n_nondetect_rows,n_other_condition_rows,n_detection_condition_missing,reporting_level_min_ugL,reporting_level_median_ugL,reporting_level_max_ugL,conc_median_ugL,conc_q25_ugL,conc_q75_ugL,conc_max_ugL,n_sites_with_non_nondetect_value,dc_window_rows,dc_window_activities,outside_dc_window_rows,outside_dc_window_activities,peak_season_by_non_nondetect_fraction,pct_rows_matched_Discharge_cfs,pct_activities_matched_Discharge_cfs,pct_rows_matched_Water_Temperature_C,pct_activities_matched_Water_Temperature_C,pct_rows_matched_Dissolved_Oxygen_mg_L,pct_activities_matched_Dissolved_Oxygen_mg_L,pct_rows_matched_pH,pct_activities_matched_pH,pct_rows_matched_Turbidity_FNU,pct_activities_matched_Turbidity_FNU,pct_rows_matched_Specific_Conductance,pct_activities_matched_Specific_Conductance
Azoxystrobin,66589,11825,11825,80,98.8,10,2012-10-01,2022-09-29,4739,7086,7086,0.0015,0.003,0.003,0.00404,0.00211,0.0106,2.91,79,10448,10448,1377,1377,JJA,98.4,98.4,99.3,99.3,98.3,98.3,97.9,97.9,25.3,25.3,98.5,98.5
Bentazon,68538,9772,9772,81,100.0,10,2012-10-01,2022-09-29,6969,2803,2803,0.009,0.009,0.01,0.0088,0.00521,0.0185,19.0,68,8649,8649,1123,1123,JJA,98.6,98.6,99.3,99.3,98.3,98.3,97.9,97.9,24.1,24.1,98.5,98.5
Bromacil,68542,5987,5987,80,98.8,10,2012-10-01,2022-09-22,3413,2574,2574,0.0028,0.006,0.00706,0.0102,0.00581,0.0216,5.42,75,5678,5678,309,309,JJA,98.9,98.9,99.5,99.5,98.3,98.3,98.2,98.2,20.6,20.6,98.9,98.9
Bromoxynil,68543,12699,12699,81,100.0,10,2012-10-01,2022-09-29,12606,93,93,0.06,0.079,0.79,0.0225,0.0117,0.0565,0.635,21,11127,11127,1572,1572,MAM,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.9,25.9,98.4,98.4
CAAT,68547,11409,11409,81,100.0,10,2012-10-01,2022-09-29,6124,5285,5285,0.012,0.025,0.0526,0.0987,0.052,0.184,1.82,74,10188,10188,1221,1221,JJA,98.4,98.4,99.2,99.2,98.3,98.3,98.0,98.0,24.8,24.8,98.5,98.5
CEAT,68550,11117,11117,80,98.8,10,2012-10-01,2022-09-29,6455,4662,4662,0.01,0.02,0.025,0.0368,0.02,0.074975,1.54,68,10061,10061,1056,1056,JJA,98.3,98.3,99.2,99.2,98.4,98.4,98.0,98.0,25.6,25.6,98.6,98.6
CIAT,68552,11119,11119,80,98.8,10,2012-10-01,2022-09-29,3955,7164,7164,0.0055,0.011,0.025,0.0286,0.0137,0.0688,3.53,78,9918,9918,1201,1201,JJA,98.4,98.4,99.1,99.1,98.3,98.3,97.9,97.9,25.8,25.8,98.5,98.5
Carbaryl,65069,12609,12609,81,100.0,10,2012-10-01,2022-09-29,11626,983,983,0.0028,0.006,0.25,0.00594,0.00345,0.0112,1.67,62,11038,11038,1571,1571,SON,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.5,25.5,98.4,98.4
Carbendazim,68548,10569,10569,80,98.8,10,2012-10-01,2022-09-29,5280,5289,5289,0.003,0.01,0.0114,0.0141,0.00632,0.0337,2.64,78,9267,9267,1302,1302,SON,98.4,98.4,99.3,99.3,98.3,98.3,98.0,98.0,24.4,24.4,98.6,98.6
Chlorimuron-ethyl,68872,9128,9128,80,98.8,9,2012-10-01,2021-09-30,8388,740,740,0.0044,0.0088,0.01,0.0116,0.0066875,0.02265,0.704,35,8895,8895,233,233,JJA,98.5,98.5,99.4,99.4,98.3,98.3,98.2,98.2,23.3,23.3,98.8,98.8
Chlorpyrifos,65072,12698,12698,81,100.0,10,2012-10-01,2022-09-29,12416,282,282,0.0015,0.003,0.025,0.003125,0.00196,0.005335,0.0661,38,11126,11126,1572,1572,MAM,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
DCPMU,68231,9296,9296,80,98.8,10,2012-10-01,2022-09-27,5525,3771,3771,0.0025,0.005,0.005,0.00654,0.00365,0.0141,1.21,76,8875,8875,421,421,JJA,98.5,98.5,99.4,99.4,98.3,98.3,98.2,98.2,24.2,24.2,98.7,98.7
Dechlorometolachlor,68562,12479,12479,81,100.0,10,2012-10-01,2022-09-29,6504,5975,5975,0.001,0.002,0.005,0.00718,0.00347,0.0184,1.55,71,11033,11033,1446,1446,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.8,25.8,98.4,98.4
Desulfinylfipronil,66607,11043,11043,81,100.0,10,2012-10-01,2022-09-29,9692,1351,1351,0.0038,0.0038,0.004,0.00246,0.00162,0.003445,0.0183,58,9900,9900,1143,1143,SON,98.4,98.4,99.3,99.3,98.3,98.3,98.1,98.1,24.3,24.3,98.6,98.6
Diazinon,65078,12693,12693,81,100.0,10,2012-10-01,2022-09-29,12368,325,325,0.0014,0.003,0.0368,0.00227,0.00127,0.00389,0.0896,51,11121,11121,1572,1572,MAM,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Dicamba,68571,12666,12666,81,100.0,10,2012-10-01,2022-09-29,12272,394,394,0.5,0.8,24.0,0.7244999999999999,0.381,1.3275000000000001,21.0,42,11098,11098,1568,1568,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.9,97.9,25.7,25.7,98.4,98.4
Dichlorvos,68572,12692,12692,81,100.0,10,2012-10-01,2022-09-29,12642,50,50,0.026,0.052,0.26,0.052750000000000005,0.0316,0.0845,0.376,18,11122,11122,1570,1570,MAM,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Dicrotophos,68573,12593,12593,81,100.0,10,2012-10-01,2022-09-29,12373,220,220,0.002,0.004,1.0,0.005555,0.00253,0.01665,3.58,20,11097,11097,1496,1496,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.9,25.9,98.5,98.5
Diflubenzuron,68576,12698,12698,81,100.0,10,2012-10-01,2022-09-29,12633,65,65,0.003,0.006,0.25,0.00256,0.00117,0.00336,0.0377,31,11126,11126,1572,1572,DJF,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Diketonitrile-isoxaflutole,68578,10051,10051,80,98.8,10,2012-10-01,2022-09-29,8562,1489,1489,0.01,0.062,0.062,0.0163,0.008,0.0342,2.13,43,9000,9000,1051,1051,JJA,98.4,98.4,99.3,99.3,98.2,98.2,98.0,98.0,24.5,24.5,98.5,98.5
Dimethenamid,68580,12149,12149,81,100.0,10,2012-10-01,2022-09-29,7397,4752,4752,0.0015,0.003,0.005,0.00832,0.0033175,0.030325,4.89,76,10766,10766,1383,1383,JJA,98.4,98.4,99.1,99.1,98.2,98.2,97.9,97.9,25.9,25.9,98.4,98.4
Dimethoate,66596,12687,12687,81,100.0,10,2012-10-01,2022-09-29,12443,244,244,0.0023,0.0046,0.25,0.005345,0.0028525,0.010849999999999999,0.683,33,11115,11115,1572,1572,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.9,25.9,98.4,98.4
Diuron,66598,9221,9221,80,98.8,10,2012-10-01,2022-09-21,4037,5184,5184,0.005,0.005,0.0164,0.0195,0.0104,0.0417,27.7,80,8840,8840,381,381,SON,98.5,98.5,99.4,99.4,98.3,98.3,98.2,98.2,23.5,23.5,98.6,98.6
Ethoprophos,68596,12700,12700,81,100.0,10,2012-10-01,2022-09-29,12400,300,300,0.0025,0.005,0.025,0.00708,0.0035325,0.025775,0.861,14,11128,11128,1572,1572,SON,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Etoxazole,68598,12552,12552,81,100.0,10,2012-10-01,2022-09-29,12528,24,24,0.002,0.0042,0.25,0.001155,0.0009125,0.00197,0.00438,20,10980,10980,1572,1572,MAM,98.3,98.3,99.3,99.3,98.2,98.2,97.9,97.9,25.9,25.9,98.5,98.5
Fipronil,66604,11303,11303,81,100.0,10,2012-10-01,2022-09-29,8727,2576,2576,0.004,0.004,0.004,0.0032,0.00189,0.00565,0.121,70,9992,9992,1311,1311,SON,98.5,98.5,99.2,99.2,98.3,98.3,97.9,97.9,25.0,25.0,98.5,98.5
Fipronil amide,68604,8047,8047,80,98.8,10,2012-10-01,2022-09-29,6513,1534,1534,0.009,0.009,0.0092,0.00953,0.0046524999999999995,0.0189,0.0876,52,7267,7267,780,780,SON,98.7,98.7,99.4,99.4,98.3,98.3,98.5,98.5,20.8,20.8,99.0,99.0
Fipronil sulfide,66610,12706,12706,81,100.0,10,2012-10-01,2022-09-29,11631,1075,1075,0.004,0.0042,0.25,0.00185,0.00125,0.00257,0.0112,41,11134,11134,1572,1572,SON,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.9,25.9,98.4,98.4
Fipronil sulfone,66613,12100,12100,81,100.0,10,2012-10-01,2022-09-29,10356,1744,1744,0.004,0.0056,0.0056,0.00346,0.0019575,0.00503,0.0203,73,10581,10581,1519,1519,SON,98.3,98.3,99.2,99.2,98.2,98.2,97.8,97.8,25.5,25.5,98.5,98.5
Fluometuron,68608,12699,12699,81,100.0,10,2012-10-01,2022-09-29,12045,654,654,0.0017,0.01,0.25,0.0197,0.008862499999999999,0.05385,37.6,55,11127,11127,1572,1572,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Glyphosate,62722,6975,6975,77,95.1,8,2014-10-06,2022-09-27,1710,5265,5265,0.02,0.02,0.02,0.09,0.04,0.23,8.1,72,6525,6525,450,450,JJA,99.6,99.6,99.0,99.0,98.4,98.4,98.1,98.1,29.9,29.9,98.6,98.6
Halosulfuron methyl,61680,12655,12655,81,100.0,10,2012-10-01,2022-09-29,12574,81,81,0.012,0.022,0.25,0.0102,0.0068,0.0168,1.72,22,11128,11128,1527,1527,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.9,25.9,98.4,98.4
Hexazinone,65085,11815,11815,80,98.8,10,2012-10-01,2022-09-29,8901,2914,2914,0.0018,0.0036,0.0036,0.00202,0.00131,0.00344,0.345,73,10491,10491,1324,1324,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.9,97.9,25.5,25.5,98.5,98.5
Hydroxymetolachlor,68622,12307,12307,81,100.0,10,2012-10-01,2022-09-29,7003,5304,5304,0.0012,0.0025,0.01,0.0117,0.00548,0.0318,2.21,73,10889,10889,1418,1418,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.8,25.8,98.4,98.4
Hydroxysimazine,68624,9843,9843,81,100.0,10,2012-10-01,2022-09-29,7293,2550,2550,0.003,0.1,0.12,0.0154,0.0071,0.029675,0.394,73,8422,8422,1421,1421,SON,98.5,98.5,99.3,99.3,98.3,98.3,97.9,97.9,25.5,25.5,98.4,98.4
Imazethapyr,61683,11850,11850,80,98.8,10,2012-10-01,2022-09-29,9055,2795,2795,0.008,0.02,0.02,0.0161,0.00832,0.03495,1.41,57,10477,10477,1373,1373,JJA,98.3,98.3,99.2,99.2,98.2,98.2,97.9,97.9,25.6,25.6,98.4,98.4
Imidacloprid,68426,12086,12086,81,100.0,10,2012-10-01,2022-09-29,6655,5431,5431,0.0081,0.016,0.025,0.0271,0.0155,0.0493,2.27,75,10730,10730,1356,1356,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.9,97.9,25.7,25.7,98.5,98.5
Linuron,68639,12699,12699,81,100.0,10,2012-10-01,2022-09-29,12547,152,152,0.0028,0.0056,0.05,0.004425,0.0021725,0.008755,0.153,43,11127,11127,1572,1572,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Malathion,65087,12677,12677,81,100.0,10,2012-10-01,2022-09-29,12578,99,99,0.0027,0.006,0.25,0.00641,0.0038250000000000003,0.01115,2.0,33,11106,11106,1571,1571,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.9,25.9,98.4,98.4
Metalaxyl,68437,11739,11739,81,100.0,10,2012-10-01,2022-09-29,8479,3260,3260,0.003,0.006,0.006,0.005425,0.00299,0.0107,2.75,81,10345,10345,1394,1394,JJA,98.5,98.5,99.3,99.3,98.3,98.3,97.8,97.8,25.6,25.6,98.5,98.5
Metconazole,66620,12140,12140,81,100.0,10,2012-10-02,2022-09-29,11924,216,216,0.0025,0.005,0.05,0.00439,0.0024225,0.009335,0.216,29,10628,10628,1512,1512,JJA,98.2,98.2,99.1,99.1,98.1,98.1,97.7,97.7,26.5,26.5,98.4,98.4
Methamidophos,68644,12694,12694,81,100.0,10,2012-10-01,2022-09-29,12344,350,350,0.003,0.01,0.25,0.03685,0.018375,0.07957499999999999,1.3,20,11123,11123,1571,1571,SON,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Methomyl,68645,12699,12699,81,100.0,10,2012-10-01,2022-09-29,12444,255,255,0.0015,0.003,0.05,0.00363,0.0015249999999999999,0.010450000000000001,0.749,42,11128,11128,1571,1571,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Methoxyfenozide,68647,11028,11028,81,100.0,10,2012-10-01,2022-09-29,8103,2925,2925,0.0011,0.0022,0.0022,0.00182,0.00104,0.00671,1.85,73,9644,9644,1384,1384,SON,98.4,98.4,99.2,99.2,98.3,98.3,97.8,97.8,24.3,24.3,98.4,98.4
Metolachlor,65090,12594,12594,81,100.0,10,2012-10-02,2022-09-29,4168,8426,8426,0.0032,0.009,0.01,0.03475,0.0076,0.182,134.0,80,11038,11038,1556,1556,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.8,25.8,98.4,98.4
Metolachlor ESA,68651,12466,12466,80,98.8,10,2012-10-01,2022-09-29,5607,6859,6859,0.068,0.068,0.25,0.265,0.116,0.542,10.3,75,10947,10947,1519,1519,JJA,98.4,98.4,99.1,99.1,98.2,98.2,97.8,97.8,25.9,25.9,98.4,98.4
Metolachlor OA,68650,10655,10655,80,98.8,10,2012-10-01,2022-09-29,7264,3391,3391,0.149,0.149,0.25,0.276,0.148,0.5385,12.8,57,9245,9245,1410,1410,JJA,98.6,98.6,99.2,99.2,98.3,98.3,97.8,97.8,25.0,25.0,98.4,98.4
Metribuzin,68652,10994,10994,81,100.0,10,2012-10-01,2022-09-29,9014,1980,1980,0.01,0.02,0.025,0.03925,0.017575,0.104,34.1,58,10232,10232,762,762,JJA,98.5,98.5,99.1,99.1,98.2,98.2,97.8,97.8,25.4,25.4,98.4,98.4
Myclobutanil,66632,12696,12696,81,100.0,10,2012-10-01,2022-09-29,11903,793,793,0.0035,0.007,0.05,0.00649,0.00421,0.0117,0.235,36,11124,11124,1572,1572,SON,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
OIAT,68659,11372,11372,81,100.0,10,2012-10-01,2022-09-29,6229,5143,5143,0.002,0.004,0.005,0.00786,0.004314999999999999,0.015,0.556,72,9990,9990,1382,1382,JJA,98.4,98.4,99.3,99.3,98.3,98.3,98.0,98.0,25.4,25.4,98.5,98.5
OIET,68660,11383,11383,81,100.0,10,2012-10-01,2022-09-29,3679,7704,7704,0.004,0.008,0.025,0.0393,0.0139,0.085525,1.47,79,9835,9835,1548,1548,JJA,98.3,98.3,99.3,99.3,98.3,98.3,98.0,98.0,25.5,25.5,98.6,98.6
Oryzalin,68663,12639,12639,81,100.0,10,2012-10-01,2022-09-29,12180,459,459,0.011,0.012,0.282,0.0168,0.00979,0.0383,1.31,35,11103,11103,1536,1536,MAM,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.9,25.9,98.4,98.4
Piperonyl butoxide,65102,12480,12480,81,100.0,10,2012-10-01,2022-09-29,11385,1095,1095,0.004,0.025,0.25,0.0053,0.003,0.0093,0.369,61,10908,10908,1572,1572,DJF,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.6,25.6,98.4,98.4
Prometon,67702,11782,11782,81,100.0,10,2012-10-01,2022-09-29,5199,6583,6583,0.002,0.004,0.004,0.00414,0.00251,0.0079,0.875,79,10553,10553,1229,1229,JJA,98.3,98.3,99.2,99.2,98.3,98.3,97.9,97.9,25.3,25.3,98.5,98.5
Propazine,68678,10631,10631,80,98.8,10,2012-10-01,2022-09-29,7850,2781,2781,0.0016,0.0032,0.004,0.00439,0.00239,0.00937,0.546,67,9832,9832,799,799,JJA,98.4,98.4,99.1,99.1,98.2,98.2,98.0,98.0,24.2,24.2,98.6,98.6
Propiconazole,66643,10052,10052,80,98.8,10,2012-10-01,2022-09-29,6276,3776,3776,0.003,0.006,0.006,0.00924,0.00547,0.0184,1.67,74,9183,9183,869,869,JJA,98.5,98.5,99.4,99.4,98.4,98.4,97.9,97.9,24.1,24.1,98.5,98.5
Propoxur,68679,12670,12670,81,100.0,10,2012-10-01,2022-09-29,11728,942,942,0.0016,0.0032,0.25,0.0022250000000000004,0.00137,0.003895,0.0295,77,11099,11099,1571,1571,SON,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.9,25.9,98.4,98.4
Pyraclostrobin,66646,12699,12699,81,100.0,10,2012-10-01,2022-09-29,11952,747,747,0.0012,0.0024,0.025,0.00186,0.00118,0.0036,0.389,56,11127,11127,1572,1572,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Simazine,65105,12322,12322,81,100.0,10,2012-10-01,2022-09-29,6818,5504,5504,0.0036,0.01,0.025,0.0314,0.0139,0.0835,17.8,78,10798,10798,1524,1524,DJF,98.3,98.3,99.1,99.1,98.2,98.2,97.9,97.9,25.7,25.7,98.5,98.5
Sulfentrazone,68687,8769,8769,80,98.8,10,2012-10-01,2022-09-29,4852,3917,3917,0.011,0.011,0.02,0.0225,0.0111,0.057,4.3,63,7682,7682,1087,1087,JJA,98.9,98.9,99.2,99.2,98.3,98.3,97.9,97.9,25.6,25.6,98.5,98.5
Sulfometuron-methyl,68688,9996,9996,80,98.8,10,2012-10-01,2022-09-29,7838,2158,2158,0.002,0.004,0.004,0.0040149999999999995,0.00247,0.0078675,0.25,72,9478,9478,518,518,JJA,98.4,98.4,99.4,99.4,98.4,98.4,98.2,98.2,23.0,23.0,98.7,98.7
Tebuconazole,66649,9793,9793,81,100.0,10,2012-10-01,2022-09-27,7549,2244,2244,0.0025,0.005,0.015,0.00818,0.0048975,0.013925,0.93,71,9004,9004,789,789,JJA,98.3,98.3,99.2,99.2,98.2,98.2,98.0,98.0,24.4,24.4,98.5,98.5
Tebupirimfos,68693,12701,12701,81,100.0,10,2012-10-01,2022-09-29,12615,86,86,0.001,0.002,0.0344,0.0014,0.0009225,0.00247,0.0341,15,11129,11129,1572,1572,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Tebuthiuron,68695,11011,11011,80,98.8,10,2012-10-01,2022-09-29,6615,4396,4396,0.0015,0.003,0.00328,0.00336,0.00204,0.0061325,9.99,78,10044,10044,967,967,SON,98.4,98.4,99.4,99.4,98.5,98.5,98.1,98.1,24.3,24.3,98.8,98.8
Terbufos,68699,12696,12696,81,100.0,10,2012-10-01,2022-09-29,12692,4,4,0.0034,0.0068,0.25,0.006234999999999999,0.004614999999999999,0.00706,0.00829,3,11124,11124,1572,1572,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Terbufos sulfone,68703,12625,12625,81,100.0,10,2012-10-01,2022-09-29,12610,15,15,0.011,0.011,0.25,0.00848,0.00688,0.010745000000000001,0.0214,11,11122,11122,1503,1503,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.9,25.9,98.4,98.4
Terbufos sulfoxide,68704,12699,12699,81,100.0,10,2012-10-01,2022-09-29,12516,183,183,0.0015,0.003,0.05,0.00275,0.001415,0.0051400000000000005,0.114,41,11127,11127,1572,1572,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Tetraconazole,66654,12694,12694,81,100.0,10,2012-10-01,2022-09-29,12114,580,580,0.0035,0.007,0.25,0.005775000000000001,0.0031475,0.0114,0.241,47,11122,11122,1572,1572,SON,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
Thiobencarb,65107,12590,12590,81,100.0,10,2012-10-01,2022-09-29,12360,230,230,0.002,0.0042,0.025,0.0038900000000000002,0.00202,0.0125,2.06,13,11018,11018,1572,1572,JJA,98.3,98.3,99.3,99.3,98.2,98.2,97.9,97.9,25.9,25.9,98.5,98.5
Triclopyr,68712,8716,8716,80,98.8,10,2012-10-01,2022-09-29,6923,1793,1793,0.088,0.088,0.088,0.0747,0.0412,0.133,15.4,75,7903,7903,813,813,SON,98.7,98.7,99.5,99.5,98.2,98.2,98.1,98.1,23.5,23.5,98.7,98.7
Trifloxystrobin,66660,12587,12587,81,100.0,10,2012-10-01,2022-09-29,12352,235,235,0.0014,0.0028,0.025,0.00135,0.000865,0.00303,0.11,38,11016,11016,1571,1571,JJA,98.3,98.3,99.3,99.3,98.2,98.2,97.9,97.9,25.9,25.9,98.5,98.5
cis-Cyhalothric acid,68553,12166,12166,81,100.0,10,2012-10-01,2022-09-29,12116,50,50,0.086,0.2,5.0,0.11699999999999999,0.07719999999999999,0.161,0.972,5,10602,10602,1564,1564,SON,98.3,98.3,99.2,99.2,98.2,98.2,97.9,97.9,25.8,25.8,98.5,98.5
cis-Permethrin,68769,12692,12692,81,100.0,10,2012-10-01,2022-09-29,12661,31,31,0.002,0.0042,0.25,0.0031,0.002,0.0056500000000000005,0.0284,26,11123,11123,1569,1569,MAM,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.0,26.0,98.4,98.4
trans-Permethrin,68708,12580,12580,81,100.0,10,2012-10-01,2022-09-29,12536,44,44,0.0019,0.004,0.251,0.00338,0.001675,0.0067125,0.0418,31,11011,11011,1569,1569,MAM,98.3,98.3,99.3,99.3,98.2,98.2,97.9,97.9,25.9,25.9,98.5,98.5
